source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,triplet codon-amino acid adaptor activity,GO:0030533,2.89E-39,38.53984661,943,417,137,9802,"WBGENE00004708,WBGENE00004716,WBGENE00004717,WBGENE00006316,WBGENE00006330,WBGENE00006333,WBGENE00006334,WBGENE00006338,WBGENE00008104,WBGENE00010376,WBGENE00011346,WBGENE00012292,WBGENE00012653,WBGENE00013010,WBGENE00013918,WBGENE00013948,WBGENE00014126,WBGENE00014147,WBGENE00014276,WBGENE00014279,WBGENE00014280,WBGENE00014281,WBGENE00014282,WBGENE00014283,WBGENE00014285,WBGENE00014286,WBGENE00014287,WBGENE00014296,WBGENE00014298,WBGENE00014299,WBGENE00014302,WBGENE00014303,WBGENE00014304,WBGENE00014305,WBGENE00014313,WBGENE00014314,WBGENE00014315,WBGENE00014321,WBGENE00014323,WBGENE00014327,WBGENE00014328,WBGENE00014331,WBGENE00014363,WBGENE00014369,WBGENE00014376,WBGENE00014377,WBGENE00014378,WBGENE00014574,WBGENE00022900,WBGENE00022901,WBGENE00022905,WBGENE00022906,WBGENE00022915,WBGENE00022917,WBGENE00022920,WBGENE00022923,WBGENE00022925,WBGENE00022927,WBGENE00022938,WBGENE00022942,WBGENE00022948,WBGENE00022949,WBGENE00022950,WBGENE00022952,WBGENE00022953,WBGENE00022954,WBGENE00022971,WBGENE00022972,WBGENE00022973,WBGENE00022975,WBGENE00022979,WBGENE00022980,WBGENE00022983,WBGENE00022984,WBGENE00022985,WBGENE00022986,WBGENE00022997,WBGENE00023005,WBGENE00023006,WBGENE00023015,WBGENE00023016,WBGENE00023022,WBGENE00023024,WBGENE00023025,WBGENE00023037,WBGENE00023040,WBGENE00023041,WBGENE00023042,WBGENE00023044,WBGENE00023045,WBGENE00023047,WBGENE00023049,WBGENE00023050,WBGENE00023051,WBGENE00023052,WBGENE00023061,WBGENE00023064,WBGENE00023070,WBGENE00023073,WBGENE00023074,WBGENE00023075,WBGENE00023076,WBGENE00023079,WBGENE00023081,WBGENE00023082,WBGENE00023085,WBGENE00023088,WBGENE00023089,WBGENE00023091,WBGENE00023095,WBGENE00023097,WBGENE00023098,WBGENE00023100,WBGENE00023110,WBGENE00023113,WBGENE00023115,WBGENE00023121,WBGENE00023127,WBGENE00023128,WBGENE00023129,WBGENE00023132,WBGENE00023133,WBGENE00023145,WBGENE00023146,WBGENE00023147,WBGENE00023149,WBGENE00023150,WBGENE00023152,WBGENE00023155,WBGENE00023156,WBGENE00023157,WBGENE00023158,WBGENE00023161,WBGENE00023171,WBGENE00023173,WBGENE00023178,WBGENE00023184"
GO:MF,molecular adaptor activity,GO:0060090,2.24E-38,37.64884914,973,417,138,9802,"WBGENE00004507,WBGENE00004708,WBGENE00004716,WBGENE00004717,WBGENE00006316,WBGENE00006330,WBGENE00006333,WBGENE00006334,WBGENE00006338,WBGENE00008104,WBGENE00010376,WBGENE00011346,WBGENE00012292,WBGENE00012653,WBGENE00013010,WBGENE00013918,WBGENE00013948,WBGENE00014126,WBGENE00014147,WBGENE00014276,WBGENE00014279,WBGENE00014280,WBGENE00014281,WBGENE00014282,WBGENE00014283,WBGENE00014285,WBGENE00014286,WBGENE00014287,WBGENE00014296,WBGENE00014298,WBGENE00014299,WBGENE00014302,WBGENE00014303,WBGENE00014304,WBGENE00014305,WBGENE00014313,WBGENE00014314,WBGENE00014315,WBGENE00014321,WBGENE00014323,WBGENE00014327,WBGENE00014328,WBGENE00014331,WBGENE00014363,WBGENE00014369,WBGENE00014376,WBGENE00014377,WBGENE00014378,WBGENE00014574,WBGENE00022900,WBGENE00022901,WBGENE00022905,WBGENE00022906,WBGENE00022915,WBGENE00022917,WBGENE00022920,WBGENE00022923,WBGENE00022925,WBGENE00022927,WBGENE00022938,WBGENE00022942,WBGENE00022948,WBGENE00022949,WBGENE00022950,WBGENE00022952,WBGENE00022953,WBGENE00022954,WBGENE00022971,WBGENE00022972,WBGENE00022973,WBGENE00022975,WBGENE00022979,WBGENE00022980,WBGENE00022983,WBGENE00022984,WBGENE00022985,WBGENE00022986,WBGENE00022997,WBGENE00023005,WBGENE00023006,WBGENE00023015,WBGENE00023016,WBGENE00023022,WBGENE00023024,WBGENE00023025,WBGENE00023037,WBGENE00023040,WBGENE00023041,WBGENE00023042,WBGENE00023044,WBGENE00023045,WBGENE00023047,WBGENE00023049,WBGENE00023050,WBGENE00023051,WBGENE00023052,WBGENE00023061,WBGENE00023064,WBGENE00023070,WBGENE00023073,WBGENE00023074,WBGENE00023075,WBGENE00023076,WBGENE00023079,WBGENE00023081,WBGENE00023082,WBGENE00023085,WBGENE00023088,WBGENE00023089,WBGENE00023091,WBGENE00023095,WBGENE00023097,WBGENE00023098,WBGENE00023100,WBGENE00023110,WBGENE00023113,WBGENE00023115,WBGENE00023121,WBGENE00023127,WBGENE00023128,WBGENE00023129,WBGENE00023132,WBGENE00023133,WBGENE00023145,WBGENE00023146,WBGENE00023147,WBGENE00023149,WBGENE00023150,WBGENE00023152,WBGENE00023155,WBGENE00023156,WBGENE00023157,WBGENE00023158,WBGENE00023161,WBGENE00023171,WBGENE00023173,WBGENE00023178,WBGENE00023184"
GO:MF,mRNA binding,GO:0003729,1.80E-37,36.74577261,1004,417,139,9802,"WBGENE00004708,WBGENE00004716,WBGENE00004717,WBGENE00006316,WBGENE00006330,WBGENE00006333,WBGENE00006334,WBGENE00006338,WBGENE00008104,WBGENE00008556,WBGENE00010376,WBGENE00011346,WBGENE00012292,WBGENE00012653,WBGENE00013010,WBGENE00013797,WBGENE00013918,WBGENE00013948,WBGENE00014126,WBGENE00014147,WBGENE00014276,WBGENE00014279,WBGENE00014280,WBGENE00014281,WBGENE00014282,WBGENE00014283,WBGENE00014285,WBGENE00014286,WBGENE00014287,WBGENE00014296,WBGENE00014298,WBGENE00014299,WBGENE00014302,WBGENE00014303,WBGENE00014304,WBGENE00014305,WBGENE00014313,WBGENE00014314,WBGENE00014315,WBGENE00014321,WBGENE00014323,WBGENE00014327,WBGENE00014328,WBGENE00014331,WBGENE00014363,WBGENE00014369,WBGENE00014376,WBGENE00014377,WBGENE00014378,WBGENE00014574,WBGENE00022900,WBGENE00022901,WBGENE00022905,WBGENE00022906,WBGENE00022915,WBGENE00022917,WBGENE00022920,WBGENE00022923,WBGENE00022925,WBGENE00022927,WBGENE00022938,WBGENE00022942,WBGENE00022948,WBGENE00022949,WBGENE00022950,WBGENE00022952,WBGENE00022953,WBGENE00022954,WBGENE00022971,WBGENE00022972,WBGENE00022973,WBGENE00022975,WBGENE00022979,WBGENE00022980,WBGENE00022983,WBGENE00022984,WBGENE00022985,WBGENE00022986,WBGENE00022997,WBGENE00023005,WBGENE00023006,WBGENE00023015,WBGENE00023016,WBGENE00023022,WBGENE00023024,WBGENE00023025,WBGENE00023037,WBGENE00023040,WBGENE00023041,WBGENE00023042,WBGENE00023044,WBGENE00023045,WBGENE00023047,WBGENE00023049,WBGENE00023050,WBGENE00023051,WBGENE00023052,WBGENE00023061,WBGENE00023064,WBGENE00023070,WBGENE00023073,WBGENE00023074,WBGENE00023075,WBGENE00023076,WBGENE00023079,WBGENE00023081,WBGENE00023082,WBGENE00023085,WBGENE00023088,WBGENE00023089,WBGENE00023091,WBGENE00023095,WBGENE00023097,WBGENE00023098,WBGENE00023100,WBGENE00023110,WBGENE00023113,WBGENE00023115,WBGENE00023121,WBGENE00023127,WBGENE00023128,WBGENE00023129,WBGENE00023132,WBGENE00023133,WBGENE00023145,WBGENE00023146,WBGENE00023147,WBGENE00023149,WBGENE00023150,WBGENE00023152,WBGENE00023155,WBGENE00023156,WBGENE00023157,WBGENE00023158,WBGENE00023161,WBGENE00023171,WBGENE00023173,WBGENE00023178,WBGENE00023184"
GO:MF,RNA binding,GO:0003723,3.18E-24,23.49809393,1436,417,146,9802,"WBGENE00004708,WBGENE00004716,WBGENE00004717,WBGENE00006316,WBGENE00006330,WBGENE00006333,WBGENE00006334,WBGENE00006338,WBGENE00006344,WBGENE00008104,WBGENE00008556,WBGENE00010376,WBGENE00011346,WBGENE00012292,WBGENE00012653,WBGENE00013010,WBGENE00013797,WBGENE00013918,WBGENE00013948,WBGENE00014126,WBGENE00014147,WBGENE00014266,WBGENE00014276,WBGENE00014279,WBGENE00014280,WBGENE00014281,WBGENE00014282,WBGENE00014283,WBGENE00014285,WBGENE00014286,WBGENE00014287,WBGENE00014291,WBGENE00014296,WBGENE00014298,WBGENE00014299,WBGENE00014302,WBGENE00014303,WBGENE00014304,WBGENE00014305,WBGENE00014313,WBGENE00014314,WBGENE00014315,WBGENE00014321,WBGENE00014322,WBGENE00014323,WBGENE00014327,WBGENE00014328,WBGENE00014331,WBGENE00014363,WBGENE00014369,WBGENE00014376,WBGENE00014377,WBGENE00014378,WBGENE00014574,WBGENE00020354,WBGENE00022900,WBGENE00022901,WBGENE00022905,WBGENE00022906,WBGENE00022915,WBGENE00022917,WBGENE00022920,WBGENE00022923,WBGENE00022925,WBGENE00022927,WBGENE00022938,WBGENE00022942,WBGENE00022948,WBGENE00022949,WBGENE00022950,WBGENE00022952,WBGENE00022953,WBGENE00022954,WBGENE00022971,WBGENE00022972,WBGENE00022973,WBGENE00022975,WBGENE00022979,WBGENE00022980,WBGENE00022983,WBGENE00022984,WBGENE00022985,WBGENE00022986,WBGENE00022997,WBGENE00023005,WBGENE00023006,WBGENE00023015,WBGENE00023016,WBGENE00023022,WBGENE00023024,WBGENE00023025,WBGENE00023037,WBGENE00023040,WBGENE00023041,WBGENE00023042,WBGENE00023044,WBGENE00023045,WBGENE00023047,WBGENE00023049,WBGENE00023050,WBGENE00023051,WBGENE00023052,WBGENE00023061,WBGENE00023064,WBGENE00023070,WBGENE00023073,WBGENE00023074,WBGENE00023075,WBGENE00023076,WBGENE00023079,WBGENE00023081,WBGENE00023082,WBGENE00023085,WBGENE00023088,WBGENE00023089,WBGENE00023091,WBGENE00023095,WBGENE00023097,WBGENE00023098,WBGENE00023100,WBGENE00023110,WBGENE00023113,WBGENE00023115,WBGENE00023121,WBGENE00023127,WBGENE00023128,WBGENE00023129,WBGENE00023132,WBGENE00023133,WBGENE00023145,WBGENE00023146,WBGENE00023147,WBGENE00023149,WBGENE00023150,WBGENE00023152,WBGENE00023155,WBGENE00023156,WBGENE00023157,WBGENE00023158,WBGENE00023161,WBGENE00023171,WBGENE00023173,WBGENE00023178,WBGENE00023184,WBGENE00045091,WBGENE00235247"
GO:MF,nucleic acid binding,GO:0003676,3.06E-12,11.51493322,2394,417,171,9802,"WBGENE00001062,WBGENE00001883,WBGENE00001907,WBGENE00001931,WBGENE00001932,WBGENE00001944,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00003701,WBGENE00003937,WBGENE00004708,WBGENE00004716,WBGENE00004717,WBGENE00004750,WBGENE00006316,WBGENE00006330,WBGENE00006333,WBGENE00006334,WBGENE00006338,WBGENE00006344,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006558,WBGENE00006559,WBGENE00008104,WBGENE00008158,WBGENE00008556,WBGENE00010376,WBGENE00010995,WBGENE00011346,WBGENE00012292,WBGENE00012653,WBGENE00013010,WBGENE00013797,WBGENE00013918,WBGENE00013948,WBGENE00014126,WBGENE00014147,WBGENE00014266,WBGENE00014276,WBGENE00014279,WBGENE00014280,WBGENE00014281,WBGENE00014282,WBGENE00014283,WBGENE00014285,WBGENE00014286,WBGENE00014287,WBGENE00014291,WBGENE00014296,WBGENE00014298,WBGENE00014299,WBGENE00014302,WBGENE00014303,WBGENE00014304,WBGENE00014305,WBGENE00014313,WBGENE00014314,WBGENE00014315,WBGENE00014321,WBGENE00014322,WBGENE00014323,WBGENE00014327,WBGENE00014328,WBGENE00014331,WBGENE00014363,WBGENE00014369,WBGENE00014376,WBGENE00014377,WBGENE00014378,WBGENE00014574,WBGENE00016777,WBGENE00018434,WBGENE00018446,WBGENE00020354,WBGENE00022000,WBGENE00022795,WBGENE00022888,WBGENE00022900,WBGENE00022901,WBGENE00022905,WBGENE00022906,WBGENE00022915,WBGENE00022917,WBGENE00022920,WBGENE00022923,WBGENE00022925,WBGENE00022927,WBGENE00022938,WBGENE00022942,WBGENE00022948,WBGENE00022949,WBGENE00022950,WBGENE00022952,WBGENE00022953,WBGENE00022954,WBGENE00022971,WBGENE00022972,WBGENE00022973,WBGENE00022975,WBGENE00022979,WBGENE00022980,WBGENE00022983,WBGENE00022984,WBGENE00022985,WBGENE00022986,WBGENE00022997,WBGENE00023005,WBGENE00023006,WBGENE00023015,WBGENE00023016,WBGENE00023022,WBGENE00023024,WBGENE00023025,WBGENE00023037,WBGENE00023040,WBGENE00023041,WBGENE00023042,WBGENE00023044,WBGENE00023045,WBGENE00023047,WBGENE00023049,WBGENE00023050,WBGENE00023051,WBGENE00023052,WBGENE00023061,WBGENE00023064,WBGENE00023070,WBGENE00023073,WBGENE00023074,WBGENE00023075,WBGENE00023076,WBGENE00023079,WBGENE00023081,WBGENE00023082,WBGENE00023085,WBGENE00023088,WBGENE00023089,WBGENE00023091,WBGENE00023095,WBGENE00023097,WBGENE00023098,WBGENE00023100,WBGENE00023110,WBGENE00023113,WBGENE00023115,WBGENE00023121,WBGENE00023127,WBGENE00023128,WBGENE00023129,WBGENE00023132,WBGENE00023133,WBGENE00023145,WBGENE00023146,WBGENE00023147,WBGENE00023149,WBGENE00023150,WBGENE00023152,WBGENE00023155,WBGENE00023156,WBGENE00023157,WBGENE00023158,WBGENE00023161,WBGENE00023171,WBGENE00023173,WBGENE00023178,WBGENE00023184,WBGENE00045091,WBGENE00235247"
GO:MF,structural constituent of cuticle,GO:0042302,1.59E-10,9.797976341,161,417,31,9802,"WBGENE00000594,WBGENE00000602,WBGENE00000603,WBGENE00000612,WBGENE00000613,WBGENE00000614,WBGENE00000616,WBGENE00000617,WBGENE00000620,WBGENE00000622,WBGENE00000627,WBGENE00000628,WBGENE00000659,WBGENE00000676,WBGENE00000688,WBGENE00000690,WBGENE00000691,WBGENE00000697,WBGENE00000699,WBGENE00000704,WBGENE00000707,WBGENE00000719,WBGENE00000728,WBGENE00000731,WBGENE00000737,WBGENE00000745,WBGENE00000753,WBGENE00000756,WBGENE00000758,WBGENE00001070,WBGENE00001076"
GO:MF,heterocyclic compound binding,GO:1901363,0.002282101,2.641665109,3652,417,197,9802,"WBGENE00000189,WBGENE00001062,WBGENE00001883,WBGENE00001907,WBGENE00001931,WBGENE00001932,WBGENE00001944,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00003701,WBGENE00003937,WBGENE00004026,WBGENE00004708,WBGENE00004716,WBGENE00004717,WBGENE00004750,WBGENE00006316,WBGENE00006330,WBGENE00006333,WBGENE00006334,WBGENE00006338,WBGENE00006344,WBGENE00006416,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006558,WBGENE00006559,WBGENE00007977,WBGENE00008104,WBGENE00008158,WBGENE00008464,WBGENE00008556,WBGENE00008883,WBGENE00010376,WBGENE00010692,WBGENE00010995,WBGENE00011346,WBGENE00012010,WBGENE00012207,WBGENE00012292,WBGENE00012653,WBGENE00012785,WBGENE00012792,WBGENE00013010,WBGENE00013797,WBGENE00013801,WBGENE00013811,WBGENE00013918,WBGENE00013948,WBGENE00014126,WBGENE00014147,WBGENE00014266,WBGENE00014276,WBGENE00014279,WBGENE00014280,WBGENE00014281,WBGENE00014282,WBGENE00014283,WBGENE00014285,WBGENE00014286,WBGENE00014287,WBGENE00014291,WBGENE00014296,WBGENE00014298,WBGENE00014299,WBGENE00014302,WBGENE00014303,WBGENE00014304,WBGENE00014305,WBGENE00014313,WBGENE00014314,WBGENE00014315,WBGENE00014321,WBGENE00014322,WBGENE00014323,WBGENE00014327,WBGENE00014328,WBGENE00014331,WBGENE00014363,WBGENE00014369,WBGENE00014376,WBGENE00014377,WBGENE00014378,WBGENE00014574,WBGENE00016541,WBGENE00016686,WBGENE00016777,WBGENE00017050,WBGENE00018178,WBGENE00018434,WBGENE00018446,WBGENE00019086,WBGENE00019190,WBGENE00019406,WBGENE00019470,WBGENE00019613,WBGENE00019814,WBGENE00020071,WBGENE00020354,WBGENE00020386,WBGENE00022000,WBGENE00022707,WBGENE00022795,WBGENE00022888,WBGENE00022900,WBGENE00022901,WBGENE00022905,WBGENE00022906,WBGENE00022915,WBGENE00022917,WBGENE00022920,WBGENE00022923,WBGENE00022925,WBGENE00022927,WBGENE00022938,WBGENE00022942,WBGENE00022948,WBGENE00022949,WBGENE00022950,WBGENE00022952,WBGENE00022953,WBGENE00022954,WBGENE00022971,WBGENE00022972,WBGENE00022973,WBGENE00022975,WBGENE00022979,WBGENE00022980,WBGENE00022983,WBGENE00022984,WBGENE00022985,WBGENE00022986,WBGENE00022997,WBGENE00023005,WBGENE00023006,WBGENE00023015,WBGENE00023016,WBGENE00023022,WBGENE00023024,WBGENE00023025,WBGENE00023037,WBGENE00023040,WBGENE00023041,WBGENE00023042,WBGENE00023044,WBGENE00023045,WBGENE00023047,WBGENE00023049,WBGENE00023050,WBGENE00023051,WBGENE00023052,WBGENE00023061,WBGENE00023064,WBGENE00023070,WBGENE00023073,WBGENE00023074,WBGENE00023075,WBGENE00023076,WBGENE00023079,WBGENE00023081,WBGENE00023082,WBGENE00023085,WBGENE00023088,WBGENE00023089,WBGENE00023091,WBGENE00023095,WBGENE00023097,WBGENE00023098,WBGENE00023100,WBGENE00023110,WBGENE00023113,WBGENE00023115,WBGENE00023121,WBGENE00023127,WBGENE00023128,WBGENE00023129,WBGENE00023132,WBGENE00023133,WBGENE00023145,WBGENE00023146,WBGENE00023147,WBGENE00023149,WBGENE00023150,WBGENE00023152,WBGENE00023155,WBGENE00023156,WBGENE00023157,WBGENE00023158,WBGENE00023161,WBGENE00023171,WBGENE00023173,WBGENE00023178,WBGENE00023184,WBGENE00045091,WBGENE00235247"
GO:MF,organic cyclic compound binding,GO:0097159,0.00242146,2.615922671,3655,417,197,9802,"WBGENE00000189,WBGENE00001062,WBGENE00001883,WBGENE00001907,WBGENE00001931,WBGENE00001932,WBGENE00001944,WBGENE00003601,WBGENE00003662,WBGENE00003671,WBGENE00003701,WBGENE00003937,WBGENE00004026,WBGENE00004708,WBGENE00004716,WBGENE00004717,WBGENE00004750,WBGENE00006316,WBGENE00006330,WBGENE00006333,WBGENE00006334,WBGENE00006338,WBGENE00006344,WBGENE00006416,WBGENE00006471,WBGENE00006556,WBGENE00006557,WBGENE00006558,WBGENE00006559,WBGENE00007977,WBGENE00008104,WBGENE00008158,WBGENE00008464,WBGENE00008556,WBGENE00008883,WBGENE00010376,WBGENE00010692,WBGENE00010995,WBGENE00011346,WBGENE00012010,WBGENE00012207,WBGENE00012292,WBGENE00012653,WBGENE00012785,WBGENE00012792,WBGENE00013010,WBGENE00013797,WBGENE00013801,WBGENE00013811,WBGENE00013918,WBGENE00013948,WBGENE00014126,WBGENE00014147,WBGENE00014266,WBGENE00014276,WBGENE00014279,WBGENE00014280,WBGENE00014281,WBGENE00014282,WBGENE00014283,WBGENE00014285,WBGENE00014286,WBGENE00014287,WBGENE00014291,WBGENE00014296,WBGENE00014298,WBGENE00014299,WBGENE00014302,WBGENE00014303,WBGENE00014304,WBGENE00014305,WBGENE00014313,WBGENE00014314,WBGENE00014315,WBGENE00014321,WBGENE00014322,WBGENE00014323,WBGENE00014327,WBGENE00014328,WBGENE00014331,WBGENE00014363,WBGENE00014369,WBGENE00014376,WBGENE00014377,WBGENE00014378,WBGENE00014574,WBGENE00016541,WBGENE00016686,WBGENE00016777,WBGENE00017050,WBGENE00018178,WBGENE00018434,WBGENE00018446,WBGENE00019086,WBGENE00019190,WBGENE00019406,WBGENE00019470,WBGENE00019613,WBGENE00019814,WBGENE00020071,WBGENE00020354,WBGENE00020386,WBGENE00022000,WBGENE00022707,WBGENE00022795,WBGENE00022888,WBGENE00022900,WBGENE00022901,WBGENE00022905,WBGENE00022906,WBGENE00022915,WBGENE00022917,WBGENE00022920,WBGENE00022923,WBGENE00022925,WBGENE00022927,WBGENE00022938,WBGENE00022942,WBGENE00022948,WBGENE00022949,WBGENE00022950,WBGENE00022952,WBGENE00022953,WBGENE00022954,WBGENE00022971,WBGENE00022972,WBGENE00022973,WBGENE00022975,WBGENE00022979,WBGENE00022980,WBGENE00022983,WBGENE00022984,WBGENE00022985,WBGENE00022986,WBGENE00022997,WBGENE00023005,WBGENE00023006,WBGENE00023015,WBGENE00023016,WBGENE00023022,WBGENE00023024,WBGENE00023025,WBGENE00023037,WBGENE00023040,WBGENE00023041,WBGENE00023042,WBGENE00023044,WBGENE00023045,WBGENE00023047,WBGENE00023049,WBGENE00023050,WBGENE00023051,WBGENE00023052,WBGENE00023061,WBGENE00023064,WBGENE00023070,WBGENE00023073,WBGENE00023074,WBGENE00023075,WBGENE00023076,WBGENE00023079,WBGENE00023081,WBGENE00023082,WBGENE00023085,WBGENE00023088,WBGENE00023089,WBGENE00023091,WBGENE00023095,WBGENE00023097,WBGENE00023098,WBGENE00023100,WBGENE00023110,WBGENE00023113,WBGENE00023115,WBGENE00023121,WBGENE00023127,WBGENE00023128,WBGENE00023129,WBGENE00023132,WBGENE00023133,WBGENE00023145,WBGENE00023146,WBGENE00023147,WBGENE00023149,WBGENE00023150,WBGENE00023152,WBGENE00023155,WBGENE00023156,WBGENE00023157,WBGENE00023158,WBGENE00023161,WBGENE00023171,WBGENE00023173,WBGENE00023178,WBGENE00023184,WBGENE00045091,WBGENE00235247"
GO:MF,structural molecule activity,GO:0005198,0.012975846,1.886864313,447,417,37,9802,"WBGENE00000594,WBGENE00000602,WBGENE00000603,WBGENE00000612,WBGENE00000613,WBGENE00000614,WBGENE00000616,WBGENE00000617,WBGENE00000620,WBGENE00000622,WBGENE00000627,WBGENE00000628,WBGENE00000659,WBGENE00000676,WBGENE00000688,WBGENE00000690,WBGENE00000691,WBGENE00000697,WBGENE00000699,WBGENE00000704,WBGENE00000707,WBGENE00000719,WBGENE00000728,WBGENE00000731,WBGENE00000737,WBGENE00000745,WBGENE00000753,WBGENE00000756,WBGENE00000758,WBGENE00001070,WBGENE00001076,WBGENE00001883,WBGENE00001907,WBGENE00001931,WBGENE00001932,WBGENE00001944,WBGENE00004513"
GO:MF,galactoside binding,GO:0016936,0.296048638,0.528636933,13,417,4,9802,"WBGENE00009748,WBGENE00018649,WBGENE00018650,WBGENE00206478"
