"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000009","F28F9.4","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-8 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; is predicted to have transmembrane transporter activity."
"2","WBGene00000039","C42D8.5","Development","Development: somatic","Development: somatic","acn-1 is an ortholog of human ACE2\; is predicted to have metallopeptidase activity and peptidyl-dipeptidase activity\; is involved in ecdysis, collagen and cuticulin-based cuticle, nematode male tail tip morphogenesis, and plasma membrane fusion\; is expressed in the epithelial system, the excretory gland cell, the male, and the vulva\; human orthologs of this gene are implicated in Alzheimer's disease."
"3","WBGene00000040","ZK455.1","Metabolism","Metabolism: unassigned","Metabolism: unassigned","aco-1 is an ortholog of human ACO1\; exhibits RNA binding activity and aconitate hydratase activity\; is involved in tricarboxylic acid metabolic process\; localizes to the cytosol\; is expressed in the hypodermis and the intestine."
"4","WBGene00000044","K03F8.2","Transmembrane transport","Transmembrane transport: nicotinic acid receptor","Transmembrane transport: nicotinic acid receptor","acr-5 is an ortholog of human HTR3A (5-hydroxytryptamine receptor 3A), ZACN (zinc activated ion channel), and CHRFAM7A and members of the human CHRN (Cholinergic receptors nicotinic subunits) gene family including CHRNA9, CHRNA7, and CHRNA10\; is predicted to have extracellular ligand-gated ion channel activity and transmembrane signaling receptor activity\; is expressed in the head, the nervous system, and the tail."
"5","WBGene00000109","F36H1.6","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned","alh-3 is an ortholog of human ALDH1L1 (aldehyde dehydrogenase 1 L1) and ALDH1L2 (aldehyde dehydrogenase 1 L2)\; is predicted to have formyltetrahydrofolate dehydrogenase activity, hydroxymethyl-, formyl- and related transferase activity, and oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor."
"6","WBGene00000189","ZK632.8","Signaling","Signaling: small GTPase","Signaling: small GTPase: ARF","arl-5 is an ortholog of human ARL5A (ADP ribosylation factor like GTPase 5A), ARL5B (ADP ribosylation factor like GTPase 5B), and ARL5C (ADP ribosylation factor like GTPase 5C)\; is predicted to have GTP binding activity\; is involved in microtubule cytoskeleton organization."
"7","WBGene00000213","W03G1.7","Metabolism","Metabolism: lipid","Metabolism: lipid: sphingolipid","asm-3 is an ortholog of human SMPD1\; is predicted to have sphingomyelin phosphodiesterase activity."
"8","WBGene00000266","C53B4.7","Stress response","Stress response: pathogen","Stress response: pathogen: unassigned","bre-1 is an ortholog of human GMDS (GDP-mannose 4,6-dehydratase)\; exhibits GDP-mannose 4,6-dehydratase activity\; is involved in GDP-L-fucose biosynthetic process, GDP-mannose metabolic process, and response to toxic substance\; localizes to the endoplasmic reticulum, sarcomere, and striated muscle dense body\; is expressed in the body wall musculature and the nervous system."
"9","WBGene00000399","R05H10.6","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-7 is an ortholog of human FAT1 (FAT atypical cadherin 1) and FAT2 (FAT atypical cadherin 2)\; is predicted to have calcium ion binding activity."
"10","WBGene00000402","C45G7.5","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-10 is an ortholog of human PCDHGA3 (protocadherin gamma subfamily A, 3), PCDHB15 (protocadherin beta 15), and PCDHB2 (protocadherin beta 2)\; is predicted to have calcium ion binding activity\; is expressed in the K cell, the K' cell, the mc1, the mc2, and the seam cell."
"11","WBGene00000487","C23H5.7","Transmembrane transport","Transmembrane transport: nucleotide gated channel","Transmembrane transport: nucleotide gated channel","che-6 is an ortholog of human CNGA4, CNGA1 (cyclic nucleotide gated channel alpha 1), and CNGA2 (cyclic nucleotide gated channel alpha 2)\; is predicted to have ion channel activity\; localizes to the neuronal cell body\; is expressed in the ASEL, the ASER, the AWCL, and the AWCR."
"12","WBGene00000493","F56H1.1","Transmembrane transport","Transmembrane transport: unassigned","Transmembrane transport: unassigned","che-14 is an ortholog of human DISP1 and DISP2\; localizes to the apical plasma membrane\; is expressed in the epithelial cell, the epithelial system, the excretory system, the rectum, and the vulva."
"13","WBGene00000521","C15C8.2","Transcription factor","Transcription factor: bHLH","Transcription factor: bHLH","cky-1 is an ortholog of human NPAS4 (neuronal PAS domain protein 4)\; contributes to sequence-specific DNA binding activity\; is involved in positive regulation of transcription by RNA polymerase II\; localizes to the RNA polymerase II transcription factor complex\; is expressed in the pharyngeal cell."
"14","WBGene00000557","R09B5.8","Stress response","Stress response: pathogen","Stress response: pathogen: caenacin","cnc-3 is enriched in the PLM, the germline precursor cell, the hypodermis, the intestine, and the male based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, dpy-10, and eat-2 based on microarray and RNA-seq studies\; is affected by eleven chemicals including Ethanol, methylmercury hydroxide, and Rotenone based on RNA-seq and microarray studies."
"15","WBGene00000603","C46A5.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-14 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"16","WBGene00000606","F11G11.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-17 is enriched in the DA neuron, the VA neuron, the germline precursor cell, and the hypodermis based on tiling array and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray and RNA-seq studies\; is affected by twenty-one chemicals including hydrogen sulfide, Nitric Oxide, and methylmercury hydroxide based on microarray and RNA-seq studies."
"17","WBGene00000610","F36A4.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-33 is predicted to be a structural constituent of cuticle."
"18","WBGene00000618","T10B10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-41 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis and the vulval precursor cell."
